Environment,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1
1798,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,215.0,9.0,330.0,9.0,500.0,500.0,500.0,437.0,500.0,119.0,500.0,9.0,500.0,304.0,303.0,500.0,355.0,500.0,500.0,135.0,418.0,160.0,278.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,449.0,500.0,251.0,500.0,500.0,500.0
1799,500.0,27.0,10.0,500.0,500.0,440.0,500.0,500.0,266.0,500.0,500.0,346.0,500.0,222.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,9.0,500.0,291.0,500.0,500.0,322.0,500.0,500.0,134.0,456.0,166.0,451.0,458.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,179.0,500.0,344.0,500.0,500.0,500.0
1800,435.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,214.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,165.0,120.0,500.0,9.0,500.0,304.0,500.0,500.0,344.0,500.0,500.0,134.0,387.0,157.0,215.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,117.0,500.0,401.0,500.0,500.0,500.0
1801,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,350.0,500.0,215.0,9.0,500.0,9.0,500.0,500.0,500.0,314.0,436.0,120.0,500.0,9.0,500.0,299.0,500.0,500.0,322.0,500.0,500.0,135.0,399.0,159.0,464.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,467.0,500.0,332.0,500.0,500.0,500.0
1802,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,449.0,500.0,230.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,450.0,119.0,500.0,9.0,500.0,303.0,500.0,500.0,389.0,500.0,119.0,134.0,454.0,160.0,211.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,303.0,500.0,316.0,500.0,500.0,500.0
1803,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,223.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,9.0,500.0,305.0,500.0,500.0,334.0,500.0,500.0,136.0,455.0,163.0,321.0,500.0,10.0,500.0,500.0,500.0,500.0,492.0,9.0,346.0,500.0,398.0,500.0,500.0,500.0
1804,183.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,216.0,9.0,487.0,9.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,9.0,500.0,301.0,451.0,500.0,417.0,500.0,500.0,133.0,389.0,161.0,228.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,336.0,500.0,500.0,500.0,500.0,500.0
1805,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,233.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,294.0,119.0,500.0,9.0,500.0,311.0,500.0,500.0,435.0,500.0,500.0,134.0,389.0,169.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,135.0,500.0,500.0,500.0,500.0,500.0
1806,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,224.0,9.0,365.0,9.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,9.0,500.0,303.0,500.0,500.0,461.0,500.0,500.0,130.0,383.0,167.0,272.0,249.0,10.0,500.0,500.0,500.0,500.0,318.0,9.0,500.0,500.0,463.0,500.0,500.0,500.0
1807,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,229.0,9.0,500.0,9.0,500.0,500.0,500.0,401.0,204.0,120.0,500.0,9.0,500.0,257.0,338.0,500.0,495.0,485.0,500.0,132.0,365.0,170.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,282.0,500.0,500.0,500.0,500.0,500.0
1808,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,358.0,500.0,240.0,9.0,500.0,9.0,500.0,500.0,500.0,391.0,500.0,118.0,500.0,9.0,500.0,257.0,343.0,500.0,500.0,500.0,500.0,133.0,500.0,172.0,277.0,500.0,10.0,500.0,500.0,500.0,500.0,419.0,9.0,441.0,500.0,500.0,500.0,500.0,500.0
1809,374.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,237.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,118.0,500.0,9.0,500.0,301.0,500.0,500.0,500.0,500.0,500.0,129.0,399.0,173.0,235.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1810,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,467.0,500.0,500.0,241.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,9.0,500.0,299.0,500.0,440.0,500.0,500.0,500.0,131.0,500.0,170.0,131.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,122.0,500.0,50.0,500.0,500.0,500.0
1811,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,255.0,9.0,328.0,9.0,500.0,500.0,500.0,500.0,500.0,117.0,500.0,9.0,500.0,298.0,230.0,500.0,500.0,500.0,500.0,131.0,466.0,174.0,417.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1812,500.0,27.0,10.0,500.0,500.0,448.0,500.0,500.0,266.0,500.0,403.0,297.0,500.0,247.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,118.0,500.0,9.0,500.0,302.0,500.0,500.0,500.0,500.0,500.0,125.0,480.0,171.0,405.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,172.0,500.0,500.0,500.0,500.0,500.0
1813,312.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,489.0,500.0,500.0,250.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,291.0,118.0,500.0,9.0,500.0,303.0,500.0,479.0,500.0,500.0,500.0,127.0,500.0,175.0,371.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1814,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,462.0,489.0,500.0,500.0,268.0,9.0,500.0,9.0,500.0,500.0,500.0,312.0,500.0,118.0,500.0,9.0,500.0,306.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,180.0,299.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1815,370.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,422.0,301.0,500.0,256.0,9.0,500.0,9.0,500.0,500.0,500.0,365.0,500.0,117.0,500.0,9.0,500.0,306.0,500.0,500.0,500.0,500.0,500.0,133.0,473.0,184.0,414.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,150.0,500.0,419.0,500.0,500.0,500.0
1816,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,415.0,500.0,500.0,274.0,9.0,362.0,9.0,500.0,500.0,500.0,422.0,500.0,118.0,500.0,9.0,500.0,302.0,500.0,500.0,500.0,500.0,500.0,131.0,373.0,184.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,165.0,500.0,500.0,500.0,500.0,500.0
1817,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,325.0,500.0,500.0,287.0,9.0,500.0,9.0,500.0,500.0,500.0,385.0,387.0,119.0,500.0,9.0,500.0,299.0,500.0,500.0,500.0,500.0,500.0,135.0,381.0,193.0,325.0,500.0,10.0,500.0,500.0,500.0,500.0,276.0,9.0,165.0,500.0,280.0,500.0,500.0,500.0
1818,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,290.0,500.0,500.0,293.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,320.0,121.0,500.0,9.0,500.0,304.0,253.0,500.0,500.0,500.0,500.0,130.0,430.0,181.0,295.0,500.0,10.0,500.0,500.0,500.0,500.0,296.0,9.0,315.0,500.0,430.0,500.0,500.0,500.0
1819,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,270.0,500.0,500.0,274.0,9.0,495.0,9.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,9.0,500.0,295.0,500.0,500.0,500.0,500.0,500.0,129.0,316.0,198.0,447.0,500.0,10.0,480.0,500.0,500.0,500.0,351.0,9.0,205.0,500.0,500.0,500.0,500.0,500.0
1820,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,316.0,281.0,500.0,269.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,9.0,500.0,297.0,500.0,500.0,500.0,500.0,500.0,137.0,384.0,196.0,184.0,262.0,10.0,417.0,500.0,500.0,500.0,500.0,9.0,398.0,500.0,500.0,500.0,500.0,500.0
1821,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,267.0,500.0,500.0,255.0,9.0,167.0,9.0,500.0,500.0,500.0,469.0,500.0,130.0,500.0,9.0,500.0,306.0,447.0,500.0,500.0,500.0,500.0,137.0,438.0,202.0,398.0,500.0,10.0,336.0,500.0,500.0,500.0,422.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1822,396.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,253.0,368.0,500.0,259.0,9.0,500.0,9.0,500.0,500.0,500.0,295.0,500.0,130.0,500.0,9.0,500.0,295.0,500.0,500.0,500.0,500.0,500.0,133.0,391.0,195.0,359.0,371.0,10.0,373.0,500.0,500.0,500.0,500.0,9.0,443.0,500.0,500.0,500.0,500.0,500.0
1823,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,265.0,500.0,500.0,263.0,9.0,500.0,9.0,500.0,343.0,500.0,314.0,500.0,133.0,500.0,9.0,500.0,300.0,150.0,500.0,500.0,500.0,500.0,137.0,500.0,203.0,415.0,166.0,10.0,301.0,500.0,500.0,500.0,420.0,9.0,196.0,500.0,500.0,500.0,500.0,500.0
1824,500.0,27.0,10.0,500.0,500.0,331.0,500.0,500.0,266.0,500.0,278.0,500.0,500.0,266.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,292.0,133.0,500.0,9.0,500.0,315.0,500.0,500.0,500.0,500.0,500.0,139.0,440.0,203.0,500.0,500.0,10.0,319.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1825,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,264.0,500.0,500.0,248.0,9.0,487.0,9.0,500.0,500.0,500.0,286.0,217.0,129.0,500.0,9.0,500.0,303.0,500.0,500.0,500.0,500.0,500.0,136.0,374.0,210.0,341.0,500.0,10.0,348.0,500.0,500.0,500.0,347.0,9.0,385.0,500.0,500.0,500.0,500.0,500.0
1826,411.0,27.0,10.0,500.0,500.0,403.0,500.0,500.0,266.0,500.0,214.0,140.0,500.0,248.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,132.0,500.0,9.0,500.0,312.0,500.0,333.0,500.0,500.0,500.0,140.0,389.0,219.0,308.0,500.0,10.0,296.0,500.0,500.0,500.0,467.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1827,500.0,27.0,10.0,500.0,500.0,354.0,500.0,500.0,266.0,500.0,235.0,500.0,500.0,240.0,9.0,500.0,9.0,500.0,500.0,500.0,402.0,500.0,136.0,500.0,9.0,500.0,312.0,500.0,500.0,500.0,500.0,500.0,130.0,344.0,207.0,500.0,500.0,10.0,303.0,500.0,500.0,500.0,500.0,9.0,464.0,500.0,500.0,500.0,500.0,500.0
1828,500.0,27.0,10.0,500.0,500.0,422.0,500.0,500.0,266.0,500.0,212.0,500.0,500.0,236.0,9.0,296.0,9.0,500.0,500.0,500.0,500.0,500.0,136.0,500.0,9.0,500.0,305.0,177.0,500.0,500.0,500.0,500.0,134.0,304.0,217.0,271.0,500.0,10.0,339.0,500.0,500.0,500.0,363.0,9.0,294.0,500.0,500.0,500.0,500.0,500.0
1829,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,272.0,500.0,500.0,245.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,134.0,500.0,9.0,500.0,300.0,434.0,500.0,496.0,500.0,500.0,137.0,404.0,222.0,474.0,500.0,10.0,308.0,500.0,500.0,500.0,376.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1830,500.0,27.0,10.0,500.0,500.0,113.0,500.0,500.0,266.0,500.0,236.0,500.0,500.0,243.0,9.0,500.0,9.0,500.0,500.0,500.0,377.0,500.0,134.0,500.0,9.0,500.0,308.0,287.0,500.0,460.0,500.0,500.0,136.0,405.0,226.0,219.0,167.0,10.0,269.0,500.0,500.0,500.0,500.0,9.0,450.0,500.0,184.0,500.0,500.0,500.0
1831,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,268.0,500.0,500.0,237.0,9.0,500.0,9.0,500.0,500.0,500.0,386.0,500.0,131.0,500.0,9.0,500.0,283.0,197.0,500.0,437.0,500.0,500.0,129.0,383.0,229.0,500.0,500.0,10.0,248.0,500.0,500.0,500.0,500.0,9.0,345.0,500.0,500.0,500.0,500.0,500.0
1832,500.0,27.0,10.0,500.0,360.0,500.0,500.0,500.0,266.0,500.0,225.0,500.0,500.0,234.0,9.0,500.0,9.0,500.0,500.0,500.0,325.0,500.0,133.0,500.0,9.0,500.0,311.0,500.0,500.0,378.0,500.0,500.0,136.0,316.0,243.0,249.0,500.0,10.0,281.0,500.0,500.0,500.0,295.0,9.0,197.0,500.0,500.0,500.0,500.0,500.0
1833,437.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,272.0,500.0,500.0,229.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,9.0,500.0,301.0,500.0,500.0,334.0,500.0,500.0,131.0,333.0,232.0,500.0,500.0,10.0,279.0,500.0,500.0,500.0,500.0,9.0,198.0,500.0,117.0,500.0,500.0,500.0
1834,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,255.0,500.0,500.0,229.0,9.0,434.0,9.0,500.0,500.0,500.0,500.0,500.0,131.0,500.0,9.0,500.0,300.0,500.0,358.0,309.0,500.0,500.0,137.0,405.0,255.0,454.0,500.0,10.0,277.0,500.0,500.0,500.0,500.0,9.0,443.0,500.0,500.0,500.0,500.0,500.0
1835,500.0,27.0,10.0,500.0,500.0,394.0,500.0,500.0,266.0,500.0,264.0,391.0,500.0,220.0,9.0,500.0,9.0,500.0,500.0,500.0,380.0,500.0,131.0,500.0,9.0,500.0,308.0,500.0,500.0,285.0,500.0,500.0,134.0,350.0,260.0,400.0,500.0,10.0,271.0,500.0,500.0,500.0,500.0,9.0,469.0,500.0,500.0,500.0,500.0,500.0
1836,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,302.0,500.0,500.0,224.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,9.0,500.0,267.0,317.0,500.0,262.0,500.0,500.0,134.0,344.0,263.0,187.0,500.0,10.0,301.0,500.0,500.0,500.0,500.0,9.0,306.0,500.0,500.0,500.0,500.0,500.0
1837,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,260.0,500.0,500.0,213.0,9.0,500.0,9.0,500.0,500.0,500.0,380.0,500.0,129.0,500.0,9.0,500.0,309.0,500.0,500.0,233.0,500.0,500.0,132.0,321.0,281.0,431.0,475.0,10.0,314.0,500.0,500.0,431.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1838,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,249.0,500.0,500.0,211.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,9.0,500.0,308.0,500.0,500.0,213.0,500.0,500.0,140.0,314.0,259.0,500.0,305.0,10.0,303.0,500.0,500.0,355.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1839,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,262.0,500.0,500.0,205.0,9.0,399.0,9.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,9.0,500.0,321.0,85.0,500.0,201.0,500.0,500.0,135.0,500.0,279.0,500.0,500.0,10.0,343.0,500.0,500.0,500.0,500.0,9.0,231.0,500.0,257.0,500.0,500.0,500.0
1840,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,236.0,486.0,500.0,199.0,9.0,425.0,9.0,500.0,500.0,500.0,500.0,500.0,128.0,500.0,9.0,500.0,295.0,500.0,351.0,191.0,500.0,500.0,138.0,267.0,293.0,242.0,174.0,10.0,385.0,500.0,500.0,339.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1841,226.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,252.0,500.0,500.0,202.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,9.0,500.0,317.0,500.0,500.0,181.0,500.0,500.0,135.0,311.0,324.0,196.0,346.0,10.0,498.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1842,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,247.0,500.0,500.0,192.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,9.0,500.0,267.0,500.0,500.0,178.0,500.0,500.0,137.0,345.0,307.0,346.0,500.0,10.0,409.0,500.0,500.0,451.0,500.0,9.0,312.0,500.0,500.0,500.0,500.0,500.0
1843,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,261.0,500.0,500.0,200.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,9.0,500.0,316.0,445.0,500.0,170.0,500.0,500.0,138.0,255.0,349.0,417.0,500.0,10.0,500.0,500.0,500.0,398.0,500.0,9.0,424.0,500.0,500.0,500.0,500.0,500.0
1844,500.0,27.0,10.0,500.0,500.0,351.0,500.0,500.0,266.0,500.0,249.0,413.0,500.0,197.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,9.0,500.0,316.0,500.0,500.0,166.0,500.0,500.0,137.0,343.0,346.0,426.0,205.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,138.0,500.0,500.0,500.0,500.0,500.0
1845,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,299.0,500.0,500.0,196.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,372.0,130.0,500.0,9.0,500.0,316.0,500.0,500.0,159.0,500.0,500.0,144.0,371.0,328.0,466.0,500.0,10.0,500.0,500.0,500.0,476.0,500.0,9.0,387.0,500.0,500.0,500.0,500.0,500.0
1846,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,298.0,500.0,500.0,192.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,9.0,500.0,306.0,500.0,500.0,156.0,500.0,500.0,139.0,385.0,333.0,500.0,288.0,10.0,500.0,500.0,500.0,500.0,484.0,9.0,171.0,500.0,500.0,500.0,500.0,500.0
1847,459.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,301.0,500.0,500.0,189.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,9.0,500.0,317.0,500.0,500.0,157.0,500.0,500.0,142.0,259.0,387.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,111.0,500.0,500.0,500.0
1848,257.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,271.0,411.0,500.0,185.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,9.0,500.0,316.0,500.0,500.0,149.0,500.0,500.0,151.0,204.0,435.0,406.0,488.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,291.0,500.0,500.0,500.0,500.0,500.0
1849,500.0,27.0,10.0,500.0,500.0,286.0,500.0,500.0,266.0,500.0,320.0,500.0,500.0,187.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,9.0,500.0,310.0,500.0,500.0,151.0,500.0,500.0,142.0,323.0,457.0,458.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,152.0,500.0,500.0,500.0,500.0,500.0
1850,226.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,394.0,500.0,500.0,188.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,9.0,500.0,324.0,347.0,500.0,148.0,500.0,500.0,141.0,277.0,423.0,205.0,172.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,487.0,500.0,500.0,500.0,500.0,500.0
1851,494.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,186.0,9.0,393.0,9.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,9.0,500.0,314.0,500.0,500.0,146.0,500.0,500.0,148.0,266.0,492.0,331.0,393.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,196.0,500.0,500.0,500.0,500.0,500.0
1852,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,184.0,9.0,138.0,9.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,9.0,500.0,324.0,500.0,500.0,144.0,500.0,500.0,145.0,404.0,500.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,402.0,9.0,432.0,500.0,500.0,500.0,500.0,500.0
1853,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,427.0,500.0,500.0,500.0,184.0,9.0,455.0,9.0,500.0,500.0,500.0,371.0,500.0,131.0,500.0,9.0,500.0,267.0,500.0,500.0,143.0,500.0,500.0,147.0,264.0,500.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,490.0,500.0,500.0,500.0,500.0,500.0
1854,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,186.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,9.0,500.0,306.0,443.0,500.0,141.0,500.0,500.0,150.0,264.0,500.0,350.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1855,355.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,177.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,131.0,500.0,9.0,500.0,309.0,414.0,500.0,142.0,500.0,500.0,149.0,450.0,500.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,125.0,500.0,500.0,500.0,500.0,500.0
1856,210.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,483.0,174.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,131.0,500.0,9.0,500.0,330.0,500.0,500.0,141.0,500.0,500.0,151.0,272.0,488.0,500.0,485.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,252.0,500.0,500.0,500.0,500.0,500.0
1857,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,176.0,500.0,177.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,126.0,500.0,9.0,500.0,332.0,500.0,500.0,140.0,500.0,500.0,150.0,263.0,500.0,470.0,417.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,117.0,500.0,500.0,500.0,500.0,500.0
1858,500.0,27.0,10.0,500.0,500.0,392.0,500.0,500.0,266.0,384.0,500.0,500.0,487.0,176.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,131.0,500.0,9.0,500.0,308.0,326.0,500.0,141.0,500.0,500.0,149.0,323.0,497.0,500.0,307.0,10.0,500.0,500.0,500.0,500.0,319.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1859,326.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,491.0,179.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,206.0,214.0,500.0,9.0,500.0,312.0,258.0,500.0,140.0,500.0,500.0,142.0,260.0,476.0,261.0,304.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0
1860,337.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,179.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,214.0,500.0,9.0,500.0,310.0,500.0,500.0,139.0,500.0,500.0,150.0,256.0,500.0,500.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,492.0,500.0,500.0,500.0,500.0,500.0
1861,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,232.0,412.0,179.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,128.0,500.0,9.0,500.0,313.0,500.0,500.0,140.0,500.0,500.0,147.0,266.0,500.0,286.0,323.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,144.0,500.0,500.0,500.0,500.0,500.0
1862,500.0,27.0,10.0,500.0,500.0,500.0,500.0,500.0,266.0,500.0,500.0,500.0,500.0,178.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,117.0,211.0,500.0,9.0,500.0,305.0,437.0,500.0,138.0,500.0,500.0,145.0,250.0,500.0,169.0,455.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,333.0,500.0,266.0,500.0,500.0,500.0
1863,500.0,27.0,10.0,500.0,500.0,230.0,500.0,500.0,266.0,335.0,500.0,264.0,427.0,176.0,9.0,466.0,9.0,500.0,500.0,500.0,500.0,367.0,216.0,500.0,9.0,500.0,315.0,500.0,500.0,138.0,500.0,500.0,143.0,194.0,500.0,500.0,204.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,161.0,500.0,500.0,500.0,500.0,500.0
